user_id,high_score,quiz_id
178,0.00,44
178,9.00,49
178,8.00,58
178,0.00,61
178,12.50,63
178,0.00,65
178,9.50,67
178,7.00,71
178,8.00,76
178,10.00,79
178,9.00,80
178,10.00,84
178,1.00,86
178,14.00,92
178,0.00,94
178,0.00,96
178,0.00,100
178,38.00,101
178,30.00,105
178,10.00,108
178,10.00,110
178,8.00,113
178,8.00,115
178,31.33,117
178,10.00,121
178,31.77,125
178,13.00,127
178,12.00,129
178,22.00,141
178,31.00,143
178,8.00,147
178,3.00,149
178,5.00,153
178,7.00,154
178,4.00,158
178,5.00,161
178,10.00,163
178,18.00,164
178,8.00,166
178,13.00,168
178,50.00,172
178,15.00,173
178,51.11,176
179,9.00,44
179,9.00,49
179,8.00,58
179,2.00,61
179,13.00,63
179,1.00,65
179,9.00,67
179,12.00,71
179,9.00,76
179,10.00,79
179,7.00,80
179,5.00,84
179,0.00,86
179,11.00,92
179,9.29,94
179,0.00,96
179,0.00,100
179,37.00,101
179,30.00,105
179,0.00,110
179,7.00,113
179,20.79,117
179,26.92,125
179,13.00,127
179,12.00,129
179,17.00,130
179,11.00,134
179,17.00,137
179,8.00,147
179,4.00,149
179,5.00,153
179,6.00,154
179,2.00,158
179,7.00,161
179,11.00,163
179,13.00,164
179,8.00,166
179,7.00,168
179,33.00,172
179,0.00,174
179,31.89,176
180,0.00,44
180,9.00,49
180,3.00,58
180,0.00,61
180,13.00,63
180,8.00,67
180,14.00,71
180,6.00,76
180,10.00,79
180,8.00,80
180,8.00,84
180,13.00,92
180,2.64,94
180,0.00,96
180,36.00,101
180,18.00,105
180,6.00,113
180,30.30,117
180,7.00,119
180,23.67,125
180,13.00,127
180,12.00,129
180,18.00,134
180,25.00,137
180,6.00,149
180,4.00,153
180,7.00,154
180,5.00,158
180,3.00,161
180,12.00,163
180,14.00,164
180,8.00,166
180,8.00,168
180,41.00,172
180,0.00,174
180,35.72,176
181,8.00,44
181,7.50,49
181,6.00,58
181,3.00,61
181,9.00,63
181,10.00,65
181,8.00,67
181,9.00,71
181,7.00,76
181,10.00,79
181,7.00,80
181,7.00,84
181,0.00,86
181,0.00,87
181,10.00,92
181,10.00,94
181,10.00,96
181,0.00,100
181,31.00,101
181,27.00,105
181,10.00,108
181,10.00,110
181,8.00,113
181,9.00,115
181,33.26,117
181,10.00,119
181,10.00,121
181,0.00,124
181,26.46,125
181,12.00,127
181,11.00,129
181,5.00,134
181,10.00,137
181,0.00,140
181,0.00,145
181,7.00,147
181,4.00,149
181,0.00,150
181,5.00,153
181,5.00,154
181,4.00,158
181,6.00,161
181,12.00,163
181,17.00,164
181,8.00,166
181,10.00,168
181,35.00,172
181,19.00,173
181,0.00,174
181,37.69,176
183,0.00,44
183,8.00,49
183,6.00,58
183,0.00,61
183,8.50,63
183,0.00,65
183,8.50,67
183,10.00,71
