user_id,title_chapter,total_read
7,"1. Introduction to Database System",1
7,"3. Database Design using ER Model",1
7,"4. Database Design using EER Model",4
7,"5. Relational Data Model",3
7,"6. Logical Design: Data Model Mapping",7
8,"1. Introduction to Database System",1
10,"1. Introduction to Database System",5
10,"4. Database Design using EER Model",1
10,"5. Relational Data Model",1
10,"6. Logical Design: Data Model Mapping",4
11,"1. Introduction to Database System",1
11,"3. Database Design using ER Model",1
11,"4. Database Design using EER Model",3
11,"6. Logical Design: Data Model Mapping",2
164,"6. Logical Design: Data Model Mapping",9
178,"1. Introduction to Database System",3
178,"2. Database System Concepts and Architecture",2
178,"4. Database Design using EER Model",1
178,"5. Relational Data Model",2
178,"6. Logical Design: Data Model Mapping",11
179,"5. Relational Data Model",1
179,"6. Logical Design: Data Model Mapping",1
180,"6. Logical Design: Data Model Mapping",10
181,"1. Introduction to Database System",2
181,"6. Logical Design: Data Model Mapping",9
183,"1. Introduction to Database System",4
183,"2. Database System Concepts and Architecture",1
183,"5. Relational Data Model",1
183,"6. Logical Design: Data Model Mapping",8
201,"1. Introduction to Database System",2
201,"2. Database System Concepts and Architecture",1
201,"4. Database Design using EER Model",1
201,"6. Logical Design: Data Model Mapping",2
205,"1. Introduction to Database System",6
205,"2. Database System Concepts and Architecture",2
205,"6. Logical Design: Data Model Mapping",10
223,"1. Introduction to Database System",4
223,"2. Database System Concepts and Architecture",2
223,"4. Database Design using EER Model",1
223,"6. Logical Design: Data Model Mapping",8
230,"1. Introduction to Database System",3
230,"6. Logical Design: Data Model Mapping",1
236,"6. Logical Design: Data Model Mapping",6
268,"1. Introduction to Database System",3
268,"2. Database System Concepts and Architecture",6
268,"3. Database Design using ER Model",4
268,"4. Database Design using EER Model",5
268,"6. Logical Design: Data Model Mapping",8
269,"1. Introduction to Database System",1
269,"3. Database Design using ER Model",4
269,"4. Database Design using EER Model",6
269,"5. Relational Data Model",7
269,"6. Logical Design: Data Model Mapping",11
271,"6. Logical Design: Data Model Mapping",3
281,"1. Introduction to Database System",5
281,"2. Database System Concepts and Architecture",5
281,"3. Database Design using ER Model",1
281,"5. Relational Data Model",7
281,"6. Logical Design: Data Model Mapping",11
337,"1. Introduction to Database System",2
337,"2. Database System Concepts and Architecture",6
337,"3. Database Design using ER Model",4
337,"4. Database Design using EER Model",6
342,"6. Logical Design: Data Model Mapping",2
343,"1. Introduction to Database System",5
343,"4. Database Design using EER Model",1
343,"6. Logical Design: Data Model Mapping",7
344,"1. Introduction to Database System",1
344,"2. Database System Concepts and Architecture",2
344,"3. Database Design using ER Model",1
344,"6. Logical Design: Data Model Mapping",2
345,"1. Introduction to Database System",6
345,"2. Database System Concepts and Architecture",6
345,"3. Database Design using ER Model",4
345,"4. Database Design using EER Model",6
345,"5. Relational Data Model",7
345,"6. Logical Design: Data Model Mapping",11
346,"1. Introduction to Database System",1
346,"6. Logical Design: Data Model Mapping",6
347,"1. Introduction to Database System",6
347,"2. Database System Concepts and Architecture",6
347,"3. Database Design using ER Model",4
347,"4. Database Design using EER Model",6
347,"5. Relational Data Model",1
347,"6. Logical Design: Data Model Mapping",4
348,"1. Introduction to Database System",1
349,"2. Database System Concepts and Architecture",1
349,"6. Logical Design: Data Model Mapping",1
350,"1. Introduction to Database System",6
350,"2. Database System Concepts and Architecture",4
350,"3. Database Design using ER Model",3
350,"4. Database Design using EER Model",4
350,"6. Logical Design: Data Model Mapping",8
351,"3. Database Design using ER Model",1
351,"6. Logical Design: Data Model Mapping",6
352,"6. Logical Design: Data Model Mapping",1
354,"1. Introduction to Database System",6
354,"3. Database Design using ER Model",4
354,"6. Logical Design: Data Model Mapping",2
355,"6. Logical Design: Data Model Mapping",1
357,"1. Introduction to Database System",2
357,"2. Database System Concepts and Architecture",6
357,"4. Database Design using EER Model",1
357,"6. Logical Design: Data Model Mapping",9
358,"1. Introduction to Database System",6
358,"3. Database Design using ER Model",4
358,"4. Database Design using EER Model",2
359,"1. Introduction to Database System",6
359,"2. Database System Concepts and Architecture",2
359,"3. Database Design using ER Model",4
359,"4. Database Design using EER Model",6
359,"5. Relational Data Model",7
359,"6. Logical Design: Data Model Mapping",8
360,"1. Introduction to Database System",3
360,"2. Database System Concepts and Architecture",6
360,"3. Database Design using ER Model",4
360,"4. Database Design using EER Model",6
360,"5. Relational Data Model",5
360,"6. Logical Design: Data Model Mapping",11
361,"3. Database Design using ER Model",2
361,"4. Database Design using EER Model",4
361,"5. Relational Data Model",3
361,"6. Logical Design: Data Model Mapping",4
362,"1. Introduction to Database System",1
362,"3. Database Design using ER Model",4
362,"4. Database Design using EER Model",6
362,"5. Relational Data Model",1
362,"6. Logical Design: Data Model Mapping",7
363,"1. Introduction to Database System",1
363,"2. Database System Concepts and Architecture",1
363,"3. Database Design using ER Model",1
363,"4. Database Design using EER Model",1
363,"6. Logical Design: Data Model Mapping",7
364,"1. Introduction to Database System",1
364,"6. Logical Design: Data Model Mapping",9
365,"1. Introduction to Database System",2
365,"2. Database System Concepts and Architecture",6
365,"3. Database Design using ER Model",4
365,"4. Database Design using EER Model",6
365,"5. Relational Data Model",6
365,"6. Logical Design: Data Model Mapping",5
366,"1. Introduction to Database System",1
366,"5. Relational Data Model",1
366,"6. Logical Design: Data Model Mapping",9
367,"1. Introduction to Database System",1
367,"2. Database System Concepts and Architecture",3
369,"1. Introduction to Database System",6
369,"2. Database System Concepts and Architecture",6
369,"3. Database Design using ER Model",4
369,"5. Relational Data Model",7
369,"6. Logical Design: Data Model Mapping",10
373,"1. Introduction to Database System",6
373,"2. Database System Concepts and Architecture",6
373,"3. Database Design using ER Model",4
373,"4. Database Design using EER Model",5
373,"5. Relational Data Model",6
373,"6. Logical Design: Data Model Mapping",11
375,"1. Introduction to Database System",2
375,"2. Database System Concepts and Architecture",4
375,"3. Database Design using ER Model",3
375,"4. Database Design using EER Model",3
376,"6. Logical Design: Data Model Mapping",3
377,"6. Logical Design: Data Model Mapping",2
378,"1. Introduction to Database System",2
378,"6. Logical Design: Data Model Mapping",1
379,"1. Introduction to Database System",2
379,"2. Database System Concepts and Architecture",1
379,"5. Relational Data Model",1
379,"6. Logical Design: Data Model Mapping",1
380,"3. Database Design using ER Model",1
380,"6. Logical Design: Data Model Mapping",1
381,"5. Relational Data Model",1
381,"6. Logical Design: Data Model Mapping",2
382,"1. Introduction to Database System",5
383,"1. Introduction to Database System",3
383,"2. Database System Concepts and Architecture",3
383,"3. Database Design using ER Model",3
383,"6. Logical Design: Data Model Mapping",9
384,"1. Introduction to Database System",1
384,"2. Database System Concepts and Architecture",5
384,"3. Database Design using ER Model",4
384,"4. Database Design using EER Model",2
384,"6. Logical Design: Data Model Mapping",2
385,"1. Introduction to Database System",3
385,"4. Database Design using EER Model",1
385,"6. Logical Design: Data Model Mapping",5
386,"1. Introduction to Database System",5
386,"2. Database System Concepts and Architecture",4
386,"3. Database Design using ER Model",3
386,"4. Database Design using EER Model",2
386,"6. Logical Design: Data Model Mapping",9
387,"6. Logical Design: Data Model Mapping",1
388,"2. Database System Concepts and Architecture",6
388,"3. Database Design using ER Model",1
388,"4. Database Design using EER Model",1
388,"6. Logical Design: Data Model Mapping",1
389,"1. Introduction to Database System",6
389,"2. Database System Concepts and Architecture",6
389,"3. Database Design using ER Model",1
389,"5. Relational Data Model",7
389,"6. Logical Design: Data Model Mapping",8
390,"3. Database Design using ER Model",1
390,"5. Relational Data Model",1
390,"6. Logical Design: Data Model Mapping",6
391,"6. Logical Design: Data Model Mapping",6
392,"3. Database Design using ER Model",1
392,"6. Logical Design: Data Model Mapping",5
393,"1. Introduction to Database System",5
393,"2. Database System Concepts and Architecture",6
393,"3. Database Design using ER Model",4
393,"4. Database Design using EER Model",6
393,"5. Relational Data Model",7
393,"6. Logical Design: Data Model Mapping",10
394,"1. Introduction to Database System",3
394,"3. Database Design using ER Model",2
394,"4. Database Design using EER Model",2
394,"6. Logical Design: Data Model Mapping",7
395,"1. Introduction to Database System",6
395,"2. Database System Concepts and Architecture",6
395,"3. Database Design using ER Model",4
395,"4. Database Design using EER Model",6
395,"5. Relational Data Model",3
395,"6. Logical Design: Data Model Mapping",11
397,"1. Introduction to Database System",2
397,"3. Database Design using ER Model",1
397,"5. Relational Data Model",1
397,"6. Logical Design: Data Model Mapping",4
398,"1. Introduction to Database System",1
398,"6. Logical Design: Data Model Mapping",1
399,"1. Introduction to Database System",6
399,"2. Database System Concepts and Architecture",5
399,"3. Database Design using ER Model",4
399,"4. Database Design using EER Model",2
399,"5. Relational Data Model",2
399,"6. Logical Design: Data Model Mapping",5
401,"6. Logical Design: Data Model Mapping",6
403,"1. Introduction to Database System",6
403,"2. Database System Concepts and Architecture",1
403,"3. Database Design using ER Model",4
403,"4. Database Design using EER Model",6
403,"5. Relational Data Model",7
403,"6. Logical Design: Data Model Mapping",11
406,"1. Introduction to Database System",6
406,"2. Database System Concepts and Architecture",6
406,"3. Database Design using ER Model",4
406,"4. Database Design using EER Model",6
406,"5. Relational Data Model",7
406,"6. Logical Design: Data Model Mapping",11
407,"1. Introduction to Database System",6
407,"2. Database System Concepts and Architecture",6
407,"3. Database Design using ER Model",4
407,"4. Database Design using EER Model",3
407,"6. Logical Design: Data Model Mapping",10
408,"1. Introduction to Database System",6
408,"2. Database System Concepts and Architecture",6
408,"3. Database Design using ER Model",4
408,"4. Database Design using EER Model",6
408,"5. Relational Data Model",7
408,"6. Logical Design: Data Model Mapping",4
409,"1. Introduction to Database System",6
409,"2. Database System Concepts and Architecture",6
409,"3. Database Design using ER Model",4
409,"4. Database Design using EER Model",6
409,"5. Relational Data Model",7
409,"6. Logical Design: Data Model Mapping",11
415,"6. Logical Design: Data Model Mapping",5
416,"1. Introduction to Database System",6
416,"2. Database System Concepts and Architecture",6
416,"3. Database Design using ER Model",4
416,"4. Database Design using EER Model",6
416,"5. Relational Data Model",7
416,"6. Logical Design: Data Model Mapping",11
417,"1. Introduction to Database System",6
417,"2. Database System Concepts and Architecture",6
417,"3. Database Design using ER Model",4
417,"4. Database Design using EER Model",6
417,"5. Relational Data Model",7
417,"6. Logical Design: Data Model Mapping",11
418,"6. Logical Design: Data Model Mapping",1
419,"1. Introduction to Database System",6
419,"2. Database System Concepts and Architecture",1
420,"1. Introduction to Database System",2
420,"3. Database Design using ER Model",3
420,"5. Relational Data Model",1
420,"6. Logical Design: Data Model Mapping",9
421,"1. Introduction to Database System",6
421,"2. Database System Concepts and Architecture",6
421,"3. Database Design using ER Model",4
421,"4. Database Design using EER Model",5
421,"6. Logical Design: Data Model Mapping",10
422,"4. Database Design using EER Model",1
422,"6. Logical Design: Data Model Mapping",10
423,"4. Database Design using EER Model",1
423,"6. Logical Design: Data Model Mapping",10
424,"1. Introduction to Database System",6
424,"2. Database System Concepts and Architecture",4
424,"3. Database Design using ER Model",4
424,"4. Database Design using EER Model",4
424,"6. Logical Design: Data Model Mapping",8
426,"1. Introduction to Database System",1
426,"4. Database Design using EER Model",1
427,"1. Introduction to Database System",4
427,"3. Database Design using ER Model",2
427,"6. Logical Design: Data Model Mapping",6
428,"3. Database Design using ER Model",2
428,"4. Database Design using EER Model",4
428,"6. Logical Design: Data Model Mapping",8
429,"1. Introduction to Database System",6
429,"3. Database Design using ER Model",4
429,"4. Database Design using EER Model",5
429,"5. Relational Data Model",3
429,"6. Logical Design: Data Model Mapping",11
430,"6. Logical Design: Data Model Mapping",3
432,"1. Introduction to Database System",6
432,"2. Database System Concepts and Architecture",6
432,"3. Database Design using ER Model",4
432,"4. Database Design using EER Model",6
432,"5. Relational Data Model",7
432,"6. Logical Design: Data Model Mapping",5
433,"3. Database Design using ER Model",1
433,"5. Relational Data Model",1
433,"6. Logical Design: Data Model Mapping",2
434,"1. Introduction to Database System",6
434,"2. Database System Concepts and Architecture",6
434,"3. Database Design using ER Model",4
434,"4. Database Design using EER Model",6
434,"5. Relational Data Model",7
434,"6. Logical Design: Data Model Mapping",11
435,"1. Introduction to Database System",6
435,"2. Database System Concepts and Architecture",6
435,"3. Database Design using ER Model",4
435,"4. Database Design using EER Model",6
435,"5. Relational Data Model",7
