user_id,high_score,quiz_id,percent_score,tags_chap_mid
119,12.0,191,92,
119,9.0,193,90,
119,9.0,201,100,
119,8.0,203,72,
119,7.5,209,100,
119,10.0,212,100,
119,3.5,216,19,
119,2.58,235,25,mapping
119,11.0,244,20,
119,5.0,251,50,conceptual
119,5.03,258,50,mapping
119,7.0,260,70,conceptual
119,5.0,263,50,
119,48.26,274,48,midterm
119,0.0,291,0,
119,9.0,295,60,
176,13.0,191,100,
176,10.0,193,100,
176,9.0,201,100,
176,10.0,203,90,
176,11.0,205,68,conceptual
176,10.0,209,100,
176,8.97,212,89,
176,10.0,214,100,conceptual
176,11.0,216,61,
176,17.0,218,80,
176,10.0,222,100,mapping
176,7.73,224,77,
176,9.0,226,60,mapping
176,6.3,228,63,mapping
176,10.0,229,100,conceptual
176,6.15,235,61,mapping
176,2.0,236,20,
176,2.0,238,20,
176,9.29,241,92,conceptual
176,49.5,244,90,
176,10.0,247,100,mapping
176,5.0,251,50,conceptual
176,8.23,258,82,mapping
176,7.5,260,75,conceptual
176,8.0,262,53,
176,5.0,263,50,
176,79.33,274,79,midterm
176,5.0,278,100,
176,4.0,280,40,
176,8.0,287,72,
176,34.0,291,68,
176,7.0,295,46,
177,13.0,191,100,
177,10.0,193,100,
177,14.0,196,87,theory
177,9.0,201,100,
177,10.0,203,90,
177,10.0,209,100,
177,10.0,212,100,
177,10.0,214,100,conceptual
177,17.0,216,94,
177,19.5,218,92,
177,10.0,222,100,mapping
177,9.43,224,94,
177,8.0,226,53,mapping
177,7.27,229,72,conceptual
177,6.67,232,66,conceptual
177,8.85,234,88,conceptual
177,0.0,236,0,
177,9.0,238,90,
177,8.81,241,88,conceptual
177,50.5,244,91,
177,10.0,247,100,mapping
177,0.0,249,0,conceptual
177,9.18,257,91,mapping
177,7.2,259,72,conceptual
177,14.0,262,93,
177,9.0,263,90,
177,0.0,271,0,
177,69.29,274,69,midterm
177,5.0,278,100,
177,8.0,280,80,
177,0.0,285,0,
177,3.0,287,27,
177,8.0,289,53,
177,34.0,290,68,
177,7.0,299,100,
177,8.0,301,66,
182,11.0,191,84,
182,9.0,193,90,
182,16.0,196,100,theory
182,15.0,200,93,theory
182,9.0,201,100,
182,9.0,203,81,
182,12.0,205,75,conceptual
182,9.0,209,100,
182,10.0,210,100,conceptual
182,8.62,212,86,
182,5.75,214,57,conceptual
182,6.0,216,33,
182,16.0,218,76,
182,10.0,222,100,mapping
182,7.16,224,71,
182,12.0,226,80,mapping
182,5.19,228,51,mapping
182,10.0,229,100,conceptual
182,4.5,235,45,mapping
182,2.0,236,20,
182,1.0,238,10,
182,7.38,241,73,conceptual
182,51.5,244,93,
182,8.08,247,80,mapping
182,7.0,251,70,conceptual
182,9.51,258,95,mapping
182,8.0,260,80,conceptual
182,11.0,262,73,
182,0.0,263,0,
182,71.42,274,71,midterm
182,5.0,278,100,
182,8.0,280,80,
182,0.0,285,0,
182,5.0,287,45,
182,30.0,291,60,
182,9.0,295,60,
182,8.0,301,66,
186,13.0,191,100,
186,9.0,193,90,
186,15.0,196,93,theory
186,13.0,200,81,theory
186,9.0,201,100,
186,10.0,203,90,
186,9.0,205,56,conceptual
186,10.0,209,100,
186,10.0,210,100,conceptual
186,10.0,212,100,
186,8.0,214,80,conceptual
186,16.0,216,88,
186,15.0,218,71,
186,10.0,222,100,mapping
186,7.73,224,77,
186,9.26,232,92,conceptual
186,8.08,234,80,conceptual
186,0.0,236,0,
186,8.0,238,80,
186,8.57,241,85,conceptual
186,47.5,244,86,
186,10.0,247,100,mapping
186,4.0,251,40,conceptual
186,8.07,257,80,mapping
186,6.0,259,60,conceptual
186,11.0,262,73,
186,9.0,263,90,
186,57.92,274,57,midterm
186,5.0,278,100,
186,10.0,280,100,
186,0.0,285,0,
186,4.0,287,36,
186,3.0,289,20,
186,23.0,290,46,
186,7.0,299,100,
186,11.0,301,91,
187,7.0,201,77,
188,12.0,191,92,
188,9.0,196,56,theory
188,8.0,201,88,
188,8.5,209,100,
188,10.0,222,100,mapping
188,35.0,244,63,
188,5.0,251,50,conceptual
188,4.72,257,47,mapping
188,-0.4,259,0,conceptual
188,10.0,262,66,
188,7.0,263,70,
188,44.25,274,44,midterm
188,4.0,278,80,
188,4.0,289,26,
188,15.0,290,30,
189,13.0,191,100,
189,10.0,193,100,
189,14.0,196,87,theory
189,9.0,201,100,
189,10.0,203,90,
189,13.0,205,81,conceptual
189,9.0,209,100,
189,9.0,210,90,conceptual
189,9.66,212,96,
189,8.25,214,82,conceptual
189,8.5,216,47,
189,15.5,218,73,
189,9.72,222,97,mapping
189,8.01,224,80,
189,13.0,226,86,mapping
189,3.95,229,39,conceptual
189,4.44,232,44,conceptual
189,9.23,234,92,conceptual
189,0.0,236,0,
189,10.0,238,100,
189,9.29,241,92,conceptual
189,48.0,244,87,
189,8.55,247,85,mapping
189,0.0,249,0,conceptual
189,9.0,251,90,conceptual
189,9.54,257,95,mapping
189,9.6,259,96,conceptual
189,8.0,262,53,
189,8.0,263,80,
189,0.0,271,0,
189,78.24,274,78,midterm
189,4.0,278,80,
189,0.0,285,0,
189,6.0,287,54,
189,12.0,289,80,
189,24.0,290,48,
189,4.0,299,57,
189,8.0,301,66,
190,13.0,191,100,
190,10.0,193,100,
190,16.0,196,100,theory
190,13.0,200,81,theory
190,9.0,201,100,
190,10.0,203,90,
190,15.0,205,93,conceptual
190,10.0,209,100,
190,10.0,210,100,conceptual
190,9.66,212,96,
190,10.0,214,100,conceptual
190,16.5,216,91,
190,20.5,218,97,
190,10.0,222,100,mapping
190,7.87,224,78,
190,14.0,226,93,mapping
190,4.81,228,48,mapping
190,10.0,229,100,conceptual
190,2.96,235,29,mapping
190,3.0,236,30,
190,1.0,238,10,
190,9.05,241,90,conceptual
190,42.0,244,76,
190,10.0,247,100,mapping
190,0.0,249,0,conceptual
190,6.0,251,60,conceptual
190,9.09,258,90,mapping
190,5.5,260,55,conceptual
190,14.0,262,93,
190,10.0,263,100,
190,0.0,271,0,
190,48.56,274,48,midterm
190,5.0,278,100,
190,8.0,280,80,
190,0.0,285,0,
190,10.0,287,90,
190,16.0,291,32,
190,7.0,295,46,
190,12.0,301,100,
191,13.0,191,100,
191,10.0,193,100,
191,16.0,196,100,theory
191,15.0,200,93,theory
191,9.0,201,100,
191,9.0,203,81,
191,11.0,205,68,conceptual
191,10.0,209,100,
191,10.0,212,100,
191,16.5,216,91,
191,11.5,218,54,
191,8.58,222,85,mapping
191,9.0,226,60,mapping
191,5.38,235,53,mapping
191,3.0,236,30,
191,1.0,238,10,
191,8.81,241,88,conceptual
191,39.0,244,70,
191,7.11,247,71,mapping
191,6.54,258,65,mapping
191,9.5,260,95,conceptual
191,10.0,263,100,
191,57.79,274,57,midterm
191,5.0,278,100,
191,8.0,280,80,
191,0.0,285,0,
191,24.0,291,48,
191,3.0,295,20,
191,7.0,299,100,
191,6.0,301,50,
192,13.0,191,100,
192,8.0,193,80,
192,9.0,196,56,theory
192,9.0,201,100,
192,10.0,203,90,
192,9.0,205,56,conceptual
192,8.35,209,100,
192,8.28,212,82,
192,16.0,216,88,
192,15.5,218,73,
192,5.39,224,53,
192,6.19,228,61,mapping
192,6.09,229,60,conceptual
192,6.15,235,61,mapping
192,3.0,236,30,
192,1.0,238,10,
192,9.05,241,90,conceptual
192,50.0,244,90,
192,6.29,258,62,mapping
192,8.0,260,80,conceptual
192,8.0,263,80,
192,67.13,274,67,midterm
192,5.0,278,100,
192,6.0,280,60,
192,0.0,285,0,
192,6.0,287,54,
192,12.0,291,24,
192,9.0,295,60,
192,6.0,299,85,
192,9.0,301,75,
193,13.0,191,100,
193,10.0,193,100,
193,16.0,196,100,theory
193,14.0,200,87,theory
193,9.0,201,100,
193,10.0,203,90,
193,9.0,205,56,conceptual
193,10.0,209,100,
193,10.0,210,100,conceptual
193,10.0,212,100,
193,5.41,213,54,conceptual
193,10.0,214,100,conceptual
193,11.5,216,63,
193,20.0,218,95,
193,10.0,222,100,mapping
193,9.29,224,92,
193,13.0,226,86,mapping
193,10.0,229,100,conceptual
193,7.04,232,70,conceptual
193,6.92,234,69,conceptual
193,0.0,236,0,
193,9.0,238,90,
193,9.52,241,95,conceptual
193,55.0,244,100,
193,10.0,247,100,mapping
193,6.0,251,60,conceptual
193,9.74,257,97,mapping
193,9.2,259,92,conceptual
193,12.0,262,80,
193,81.11,274,81,midterm
193,5.0,278,100,
193,9.0,280,90,
193,0.0,285,0,
193,8.0,287,72,
193,13.0,289,86,
193,32.0,290,64,
193,7.0,301,58,
194,13.0,191,100,
194,10.0,193,100,
194,13.0,196,81,theory
194,13.0,200,81,theory
194,9.0,201,100,
194,10.0,203,90,
194,12.0,205,75,conceptual
194,10.0,209,100,
194,10.0,212,100,
194,17.5,216,97,
194,10.5,218,50,
194,8.01,224,80,
194,4.0,226,26,mapping
194,-3.7,228,0,mapping
194,5.77,235,57,mapping
194,3.0,236,30,
194,3.0,238,30,
194,9.52,241,95,conceptual
194,31.0,244,56,
194,9.59,247,95,mapping
194,0.0,249,0,conceptual
194,8.0,258,80,mapping
194,8.5,260,85,conceptual
194,3.0,263,30,
194,0.0,271,0,
194,54.44,274,54,midterm
194,5.0,278,100,
194,8.0,280,80,
194,0.0,285,0,
194,7.0,287,63,
194,26.0,291,52,
194,9.0,295,60,
194,6.0,299,85,
198,13.0,191,100,
198,10.0,193,100,
198,16.0,196,100,theory
198,10.0,200,62,theory
198,9.0,201,100,
198,10.0,203,90,
198,11.0,205,68,conceptual
198,10.0,210,100,conceptual
198,7.24,212,72,
198,10.0,214,100,conceptual
198,10.0,222,100,mapping
198,6.15,234,61,conceptual
198,0.0,236,0,
198,2.0,238,20,
198,46.0,244,83,
198,9.69,247,96,mapping
198,6.0,251,60,conceptual
198,9.34,258,93,mapping
198,6.0,259,60,conceptual
198,4.0,263,40,
198,61.58,274,61,midterm
198,5.0,278,100,
198,7.0,280,70,
198,0.0,285,0,
198,1.0,287,9,
198,12.0,289,80,
198,34.0,290,68,
198,5.0,299,71,
198,7.0,301,58,
199,13.0,191,100,
199,10.0,193,100,
199,16.0,196,100,theory
199,16.0,200,100,theory
199,9.0,201,100,
199,10.0,203,90,
199,13.0,205,81,conceptual
199,9.0,209,100,
199,9.31,212,93,
199,8.5,214,85,conceptual
199,18.0,216,100,
199,16.5,218,78,
199,10.0,222,100,mapping
199,8.87,224,88,
199,15.0,226,100,mapping
199,9.26,228,92,mapping
199,10.0,229,100,conceptual
199,6.81,235,68,mapping
199,2.0,236,20,
199,2.0,238,20,
199,7.38,241,73,conceptual
199,48.0,244,87,
199,5.0,251,50,conceptual
199,9.11,258,91,mapping
199,9.0,260,90,conceptual
199,13.0,262,86,
199,9.0,263,90,
199,55.53,274,55,midterm
199,5.0,278,100,
199,7.0,280,70,
199,0.0,285,0,
199,7.0,287,63,
199,29.0,291,57,
199,10.0,295,66,
199,11.0,301,91,
200,13.0,191,100,
200,10.0,193,100,
200,16.0,196,100,theory
200,9.0,201,100,
200,10.0,203,90,
200,12.0,205,75,conceptual
200,9.5,209,100,
200,10.0,210,100,conceptual
200,8.62,212,86,
200,5.92,214,59,conceptual
200,9.5,216,52,
200,16.0,218,76,
200,9.56,222,95,mapping
200,6.81,224,68,
200,8.73,235,87,mapping
200,2.0,236,20,
200,0.0,238,0,
200,9.29,241,92,conceptual
200,44.0,244,80,
200,8.55,247,85,mapping
200,0.0,249,0,conceptual
200,7.0,251,70,conceptual
200,6.26,258,62,mapping
200,6.5,260,65,conceptual
200,12.0,262,80,
200,8.0,263,80,
200,0.0,271,0,
200,67.82,274,67,midterm
200,5.0,278,100,
200,19.0,291,38,
200,11.0,295,73,
200,6.0,299,85,
202,13.0,191,100,
202,8.0,193,80,
202,15.0,196,93,theory
202,14.0,200,87,theory
202,9.0,201,100,
202,11.0,203,100,
202,10.0,209,100,
202,10.0,210,100,conceptual
202,10.0,212,100,
202,9.5,216,52,
202,16.0,218,76,
202,6.81,224,68,
202,12.0,226,80,mapping
202,10.0,229,100,conceptual
202,1.48,232,14,conceptual
202,5.38,234,53,conceptual
202,9.0,238,90,
202,39.0,244,70,
202,7.96,247,79,mapping
202,0.0,249,0,conceptual
202,7.48,257,74,mapping
202,8.0,259,80,conceptual
202,0.0,271,0,
202,59.35,274,59,midterm
202,5.0,278,100,
202,0.0,285,0,
202,2.0,287,18,
202,5.0,289,33,
202,9.0,290,18,
204,13.0,191,100,
204,9.0,193,90,
204,16.0,196,100,theory
204,11.0,200,68,theory
204,9.0,201,100,
204,9.0,203,81,
204,9.0,205,56,conceptual
204,10.0,209,100,
204,10.0,210,100,conceptual
204,10.0,212,100,
204,7.0,214,70,conceptual
204,16.0,216,88,
204,16.5,218,78,
204,9.81,222,98,mapping
204,7.73,224,77,
204,15.0,226,100,mapping
204,3.33,228,33,mapping
