user_id,high_score,quiz_id
193,0.00,236
193,9.00,238
193,9.52,241
193,55.00,244
193,10.00,247
193,6.00,251
193,9.74,257
193,9.20,259
193,12.00,262
193,81.11,274
193,5.00,278
193,9.00,280
193,0.00,285
193,8.00,287
193,13.00,289
193,32.00,290
193,7.00,301
193,9.00,308
193,38.00,319
194,13.00,191
194,10.00,193
194,13.00,196
194,13.00,200
194,9.00,201
194,10.00,203
194,12.00,205
194,10.00,209
194,10.00,212
194,17.50,216
194,10.50,218
194,8.01,224
194,4.00,226
194,-3.70,228
194,5.77,235
194,3.00,236
194,3.00,238
194,9.52,241
194,31.00,244
194,9.59,247
194,0.00,249
194,8.00,258
194,8.50,260
194,3.00,263
194,0.00,271
194,54.44,274
194,5.00,278
194,8.00,280
194,0.00,285
194,7.00,287
194,26.00,291
194,9.00,295
194,6.00,299
198,13.00,191
198,10.00,193
198,16.00,196
198,10.00,200
198,9.00,201
198,10.00,203
198,11.00,205
198,10.00,210
198,7.24,212
198,10.00,214
198,10.00,222
198,6.15,234
198,0.00,236
198,2.00,238
198,46.00,244
198,9.69,247
198,6.00,251
198,9.34,258
198,6.00,259
198,4.00,263
198,61.58,274
198,5.00,278
198,7.00,280
198,0.00,285
198,1.00,287
198,12.00,289
198,34.00,290
198,5.00,299
198,7.00,301
198,7.00,308
198,22.00,319
199,13.00,191
199,10.00,193
199,16.00,196
199,16.00,200
199,9.00,201
199,10.00,203
199,13.00,205
199,9.00,209
199,9.31,212
199,8.50,214
199,18.00,216
199,16.50,218
199,10.00,222
199,8.87,224
199,15.00,226
199,9.26,228
199,10.00,229
199,6.81,235
199,2.00,236
199,2.00,238
199,7.38,241
199,48.00,244
199,5.00,251
199,9.11,258
199,9.00,260
199,13.00,262
199,9.00,263
199,55.53,274
199,5.00,278
199,7.00,280
199,0.00,285
199,7.00,287
199,29.00,291
199,10.00,295
199,11.00,301
199,25.00,306
199,9.00,308
199,16.00,310
199,12.00,312
199,2.00,316
199,28.00,318
200,13.00,191
200,10.00,193
200,16.00,196
200,9.00,201
200,10.00,203
200,12.00,205
200,9.50,209
200,10.00,210
200,8.62,212
200,5.92,214
200,9.50,216
200,16.00,218
200,9.56,222
200,6.81,224
200,8.73,235
200,2.00,236
200,0.00,238
200,9.29,241
200,44.00,244
200,8.55,247
200,0.00,249
200,7.00,251
200,6.26,258
200,6.50,260
200,12.00,262
200,8.00,263
200,0.00,271
200,67.82,274
200,5.00,278
200,19.00,291
200,11.00,295
200,6.00,299
200,10.00,308
200,18.00,318
202,13.00,191
202,8.00,193
202,15.00,196
202,14.00,200
202,9.00,201
202,11.00,203
202,10.00,209
202,10.00,210
202,10.00,212
202,9.50,216
202,16.00,218
202,6.81,224
202,12.00,226
202,10.00,229
202,1.48,232
202,5.38,234
202,9.00,238
202,39.00,244
202,7.96,247
202,0.00,249
202,7.48,257
202,8.00,259
202,0.00,271
202,59.35,274
202,5.00,278
202,0.00,285
202,2.00,287
202,5.00,289
202,9.00,290
202,2.00,319
204,13.00,191
204,9.00,193
204,16.00,196
204,11.00,200
204,9.00,201
204,9.00,203
204,9.00,205
204,10.00,209
204,10.00,210
204,10.00,212
204,7.00,214
204,16.00,216
204,16.50,218
204,9.81,222
204,7.73,224
204,15.00,226
204,3.33,228
204,10.00,229
204,6.42,235
204,2.00,236
204,1.00,238
204,8.57,241
204,33.00,244
204,9.87,247
204,9.00,251
204,9.00,258
204,5.50,260
204,15.00,262
204,9.00,263
204,69.70,274
204,5.00,278
204,9.00,280
204,0.00,285
204,5.00,287
204,34.00,291
204,12.00,295
204,2.00,299
204,12.00,301
204,26.00,318
215,13.00,191
215,10.00,193
215,16.00,196
215,14.00,200
215,9.00,201
215,9.00,203
215,14.00,205
215,10.00,209
215,10.00,210
215,10.00,212
215,10.00,214
215,15.00,216
215,17.50,218
215,10.00,222
215,12.00,226
215,10.00,229
215,8.52,232
215,9.62,234
215,2.00,236
215,10.00,238
215,9.52,241
215,51.00,244
215,10.00,247
215,5.00,251
215,9.57,258
215,9.20,259
215,13.00,262
215,6.00,263
215,77.70,274
215,5.00,278
215,0.00,285
215,6.00,287
215,13.00,289
215,28.00,290
215,6.00,308
215,49.00,319
216,13.00,191
216,10.00,193
216,16.00,196
216,15.00,200
216,9.00,201
216,10.00,203
216,10.00,205
216,10.00,209
216,10.00,210
216,10.00,212
216,6.90,213
216,10.00,214
216,18.00,216
216,18.50,218
216,10.00,222
216,7.87,224
216,9.00,226
216,8.15,228
216,10.00,229
216,6.42,235
216,9.00,236
216,7.00,238
216,8.57,241
216,51.50,244
216,9.84,247
216,0.00,249
216,7.00,251
216,8.46,258
216,9.00,260
216,15.00,262
216,10.00,263
216,70.18,274
216,5.00,278
216,9.00,280
216,12.00,285
216,6.00,287
216,30.00,291
216,8.00,295
216,7.00,299
216,12.00,301
216,25.00,306
216,9.00,308
216,17.00,310
216,12.00,312
216,2.00,316
216,40.00,318
217,12.00,191
217,10.00,193
217,16.00,196
217,13.00,200
217,9.00,201
217,9.00,203
217,12.00,205
217,9.00,209
217,0.00,210
217,9.55,212
217,9.00,214
217,18.00,216
217,19.00,218
217,9.91,222
217,8.58,224
217,10.00,226
217,6.30,232
217,9.23,234
217,0.00,236
217,10.00,238
217,9.29,241
217,54.00,244
217,10.00,247
217,9.61,257
217,10.00,259
217,15.00,262
217,2.00,263
217,80.53,274
217,4.00,278
217,8.00,280
217,0.00,285
217,10.00,287
217,10.00,289
217,30.00,290
217,7.00,299
217,8.00,301
217,23.36,306
217,8.00,307
217,10.00,308
217,17.00,310
217,9.00,312
217,41.00,319
218,10.00,191
218,10.00,193
218,16.00,196
218,13.00,200
218,8.00,201
218,8.00,203
218,16.00,205
218,9.33,210
218,10.00,212
218,7.75,214
218,15.00,226
218,9.09,229
218,5.93,232
218,5.77,234
218,10.00,236
218,7.50,238
218,10.00,241
218,41.00,244
218,7.39,247
218,6.13,257
218,8.00,259
218,14.00,262
218,10.00,263
218,50.12,274
218,4.00,278
218,7.00,280
218,6.00,287
218,6.00,289
218,5.00,290
218,8.00,308
218,22.00,319
221,13.00,191
221,10.00,193
221,16.00,196
221,9.00,201
221,9.00,203
221,15.00,205
221,10.00,209
221,10.00,210
221,5.86,212
221,9.50,214
221,17.00,216
221,19.50,218
221,0.00,222
221,10.00,224
221,13.00,226
221,8.52,228
221,10.00,229
221,9.50,235
221,3.00,236
221,1.00,238
221,7.86,241
221,52.00,244
221,10.00,247
221,0.00,249
221,7.00,251
221,9.69,258
221,10.00,260
221,12.00,262
221,8.00,263
221,0.00,271
221,71.22,274
221,5.00,278
221,7.00,280
221,0.00,285
221,9.00,287
221,34.00,291
221,7.00,295
221,10.00,301
221,12.00,308
221,39.00,318
222,13.00,191
222,10.00,193
222,16.00,196
222,13.00,200
222,9.00,201
222,11.00,203
222,12.00,205
222,10.00,209
222,10.00,210
222,5.52,212
222,10.00,214
222,15.50,216
222,17.50,218
222,10.00,222
222,7.73,224
222,7.00,226
222,10.00,229
222,6.30,232
222,6.15,234
222,0.00,236
222,9.00,238
