user_id,title_chapter,total_read
309,"2  Relational Data Model",1
309,"3. Database Design using ER Model",1
309,"4. Logical Design: Data Model Mapping",3
309,"5. Database Design using EER Model",4
312,"2  Relational Data Model",1
313,"5. Database Design using EER Model",7
314,"1. Introduction to Database System",1
314,"2  Relational Data Model",2
315,"1. Introduction to Database System",2
315,"2  Relational Data Model",1
315,"4. Logical Design: Data Model Mapping",4
315,"5. Database Design using EER Model",5
316,"1. Introduction to Database System",3
316,"2  Relational Data Model",1
318,"1. Introduction to Database System",5
318,"2  Relational Data Model",7
318,"3. Database Design using ER Model",5
318,"4. Logical Design: Data Model Mapping",6
318,"5. Database Design using EER Model",9
319,"1. Introduction to Database System",1
319,"5. Database Design using EER Model",4
321,"1. Introduction to Database System",6
321,"2  Relational Data Model",4
321,"3. Database Design using ER Model",5
321,"4. Logical Design: Data Model Mapping",1
321,"5. Database Design using EER Model",3
322,"2  Relational Data Model",1
322,"4. Logical Design: Data Model Mapping",2
323,"1. Introduction to Database System",3
323,"2  Relational Data Model",6
323,"3. Database Design using ER Model",3
323,"4. Logical Design: Data Model Mapping",8
324,"2  Relational Data Model",1
324,"3. Database Design using ER Model",1
325,"5. Database Design using EER Model",3
326,"1. Introduction to Database System",1
326,"2  Relational Data Model",1
326,"5. Database Design using EER Model",8
327,"3. Database Design using ER Model",1
328,"1. Introduction to Database System",1
329,"1. Introduction to Database System",6
329,"2  Relational Data Model",7
329,"3. Database Design using ER Model",5
329,"4. Logical Design: Data Model Mapping",2
331,"1. Introduction to Database System",2
331,"4. Logical Design: Data Model Mapping",5
331,"5. Database Design using EER Model",3
332,"1. Introduction to Database System",6
332,"2  Relational Data Model",7
332,"3. Database Design using ER Model",5
332,"4. Logical Design: Data Model Mapping",8
332,"5. Database Design using EER Model",9
333,"1. Introduction to Database System",2
335,"1. Introduction to Database System",6
335,"2  Relational Data Model",6
335,"3. Database Design using ER Model",1
335,"4. Logical Design: Data Model Mapping",8
335,"5. Database Design using EER Model",7
336,"1. Introduction to Database System",1
336,"4. Logical Design: Data Model Mapping",1
339,"3. Database Design using ER Model",1
340,"1. Introduction to Database System",3
340,"2  Relational Data Model",5
340,"3. Database Design using ER Model",1
340,"4. Logical Design: Data Model Mapping",8
340,"5. Database Design using EER Model",4
341,"5. Database Design using EER Model",1
353,"1. Introduction to Database System",1
353,"5. Database Design using EER Model",4
361,"5. Database Design using EER Model",1
369,"1. Introduction to Database System",1
409,"1. Introduction to Database System",5
409,"2  Relational Data Model",1
409,"3. Database Design using ER Model",1
409,"4. Logical Design: Data Model Mapping",1
409,"5. Database Design using EER Model",9
419,"1. Introduction to Database System",6
419,"2  Relational Data Model",3
419,"3. Database Design using ER Model",1
456,"1. Introduction to Database System",6
456,"2  Relational Data Model",1
490,"1. Introduction to Database System",1
490,"2  Relational Data Model",2
490,"3. Database Design using ER Model",1
490,"4. Logical Design: Data Model Mapping",3
501,"1. Introduction to Database System",6
501,"3. Database Design using ER Model",5
501,"4. Logical Design: Data Model Mapping",8
505,"1. Introduction to Database System",2
505,"2  Relational Data Model",4
505,"3. Database Design using ER Model",1
505,"4. Logical Design: Data Model Mapping",3
505,"5. Database Design using EER Model",2
688,"1. Introduction to Database System",3
689,"1. Introduction to Database System",6
689,"2. Relational Data Model",7
689,"3. Database Design using ER Model",5
689,"4. Logical Design: Data Model Mapping",8
689,"5. Database Design using EER Model",9
694,"1. Introduction to Database System",6
694,"2. Relational Data Model",7
694,"3. Database Design using ER Model",5
694,"4. Logical Design: Data Model Mapping",8
694,"5. Database Design using EER Model",7
751,"1. Introduction to Database System",6
751,"2. Relational Data Model",6
751,"3. Database Design using ER Model",3
751,"4. Logical Design: Data Model Mapping",7
889,"1. Introduction to Database System",6
889,"2. Relational Data Model",2
889,"3. Database Design using ER Model",5
889,"4. Logical Design: Data Model Mapping",2
889,"5. Database Design using EER Model",9
898,"1. Introduction to Database System",5
898,"2. Relational Data Model",5
898,"3. Database Design using ER Model",5
898,"4. Logical Design: Data Model Mapping",1
903,"1. Introduction to Database System",4
903,"2. Relational Data Model",5
903,"3. Database Design using ER Model",5
903,"4. Logical Design: Data Model Mapping",4
903,"5. Database Design using EER Model",9
908,"1. Introduction to Database System",2
908,"4. Logical Design: Data Model Mapping",2
916,"5. Database Design using EER Model",9
929,"1. Introduction to Database System",1
929,"5. Database Design using EER Model",1
936,"4. Logical Design: Data Model Mapping",3
936,"5. Database Design using EER Model",3
941,"1. Introduction to Database System",1
941,"3. Database Design using ER Model",1
941,"5. Database Design using EER Model",1
954,"3. Database Design using ER Model",4
954,"4. Logical Design: Data Model Mapping",1
957,"1. Introduction to Database System",2
957,"3. Database Design using ER Model",1
973,"1. Introduction to Database System",3
973,"2. Relational Data Model",5
973,"3. Database Design using ER Model",4
973,"4. Logical Design: Data Model Mapping",4
986,"1. Introduction to Database System",1
986,"2. Relational Data Model",3
986,"3. Database Design using ER Model",1
986,"4. Logical Design: Data Model Mapping",5
986,"5. Database Design using EER Model",9
989,"1. Introduction to Database System",6
989,"2. Relational Data Model",1
989,"4. Logical Design: Data Model Mapping",6
989,"5. Database Design using EER Model",3
990,"1. Introduction to Database System",1
990,"3. Database Design using ER Model",1
990,"4. Logical Design: Data Model Mapping",8
990,"5. Database Design using EER Model",3
991,"1. Introduction to Database System",1
991,"5. Database Design using EER Model",1
992,"2. Relational Data Model",1
992,"4. Logical Design: Data Model Mapping",1
992,"5. Database Design using EER Model",4
993,"1. Introduction to Database System",6
993,"2. Relational Data Model",4
993,"3. Database Design using ER Model",1
993,"4. Logical Design: Data Model Mapping",3
994,"1. Introduction to Database System",2
994,"2. Relational Data Model",3
994,"3. Database Design using ER Model",4
994,"4. Logical Design: Data Model Mapping",8
994,"5. Database Design using EER Model",1
996,"2. Relational Data Model",3
996,"4. Logical Design: Data Model Mapping",7
997,"2. Relational Data Model",1
997,"4. Logical Design: Data Model Mapping",7
998,"1. Introduction to Database System",3
998,"2. Relational Data Model",1
998,"3. Database Design using ER Model",1
998,"4. Logical Design: Data Model Mapping",2
998,"5. Database Design using EER Model",1
999,"2. Relational Data Model",2
999,"3. Database Design using ER Model",1
999,"4. Logical Design: Data Model Mapping",1
1000,"1. Introduction to Database System",6
1000,"2. Relational Data Model",3
1000,"3. Database Design using ER Model",1
1001,"4. Logical Design: Data Model Mapping",1
1004,"2. Relational Data Model",3
1004,"4. Logical Design: Data Model Mapping",3
1005,"1. Introduction to Database System",6
1005,"2. Relational Data Model",7
1005,"3. Database Design using ER Model",5
1005,"4. Logical Design: Data Model Mapping",8
1005,"5. Database Design using EER Model",9
1007,"4. Logical Design: Data Model Mapping",1
1008,"1. Introduction to Database System",4
1008,"2. Relational Data Model",2
1008,"3. Database Design using ER Model",3
1008,"4. Logical Design: Data Model Mapping",4
1008,"5. Database Design using EER Model",3
1009,"2. Relational Data Model",1
1009,"3. Database Design using ER Model",5
1010,"1. Introduction to Database System",1
1010,"2. Relational Data Model",1
1010,"3. Database Design using ER Model",1
1010,"4. Logical Design: Data Model Mapping",4
1010,"5. Database Design using EER Model",3
1011,"1. Introduction to Database System",1
1011,"2. Relational Data Model",1
1011,"3. Database Design using ER Model",3
1011,"4. Logical Design: Data Model Mapping",7
1011,"5. Database Design using EER Model",3
1012,"1. Introduction to Database System",5
1012,"2. Relational Data Model",5
1012,"3. Database Design using ER Model",1
1012,"4. Logical Design: Data Model Mapping",5
1012,"5. Database Design using EER Model",3
1015,"4. Logical Design: Data Model Mapping",1
1017,"1. Introduction to Database System",6
1017,"2. Relational Data Model",7
1017,"3. Database Design using ER Model",5
1017,"4. Logical Design: Data Model Mapping",8
1017,"5. Database Design using EER Model",7
1018,"1. Introduction to Database System",3
1018,"2. Relational Data Model",3
1018,"3. Database Design using ER Model",2
1018,"5. Database Design using EER Model",8
1019,"1. Introduction to Database System",5
1019,"2. Relational Data Model",7
1019,"3. Database Design using ER Model",4
1019,"4. Logical Design: Data Model Mapping",6
1019,"5. Database Design using EER Model",1
1022,"3. Database Design using ER Model",4
1022,"4. Logical Design: Data Model Mapping",2
1025,"1. Introduction to Database System",2
1026,"3. Database Design using ER Model",1
1028,"1. Introduction to Database System",5
1028,"2. Relational Data Model",1
1028,"4. Logical Design: Data Model Mapping",8
1028,"5. Database Design using EER Model",2
1029,"2. Relational Data Model",3
1029,"4. Logical Design: Data Model Mapping",2
1029,"5. Database Design using EER Model",2
1030,"1. Introduction to Database System",3
1030,"2. Relational Data Model",2
1030,"5. Database Design using EER Model",8
1031,"4. Logical Design: Data Model Mapping",1
1032,"1. Introduction to Database System",1
1032,"2. Relational Data Model",2
1032,"3. Database Design using ER Model",4
1032,"4. Logical Design: Data Model Mapping",1
1032,"5. Database Design using EER Model",9
1033,"1. Introduction to Database System",2
1033,"4. Logical Design: Data Model Mapping",1
1033,"5. Database Design using EER Model",7
1034,"1. Introduction to Database System",5
1034,"2. Relational Data Model",4
1034,"3. Database Design using ER Model",1
1034,"4. Logical Design: Data Model Mapping",4
1035,"1. Introduction to Database System",6
1035,"2. Relational Data Model",7
1035,"3. Database Design using ER Model",5
1035,"4. Logical Design: Data Model Mapping",2
1037,"1. Introduction to Database System",6
1037,"2. Relational Data Model",3
1037,"3. Database Design using ER Model",1
1037,"4. Logical Design: Data Model Mapping",7
1037,"5. Database Design using EER Model",1
1038,"1. Introduction to Database System",1
1038,"2. Relational Data Model",2
1038,"3. Database Design using ER Model",3
1038,"4. Logical Design: Data Model Mapping",2
1039,"1. Introduction to Database System",1
1039,"3. Database Design using ER Model",1
1039,"4. Logical Design: Data Model Mapping",6
1040,"1. Introduction to Database System",1
1041,"2. Relational Data Model",2
1041,"4. Logical Design: Data Model Mapping",3
1041,"5. Database Design using EER Model",1
1042,"1. Introduction to Database System",4
1042,"4. Logical Design: Data Model Mapping",8
1042,"5. Database Design using EER Model",8
1043,"1. Introduction to Database System",1
1043,"5. Database Design using EER Model",3
