user,Practice_introduction,Practice_conceptualDesign,Practice_logicalDesign,read_introduction,read_er,read_eer,read_logical
201,64,30,31,15,0,16,18
205,68,72,89,42,0,0,90
223,50,57,54,31,0,16,72
230,39,16,10,15,0,0,9
236,70,62,21,0,0,0,54
237,0,0,0,0,0,0,0
268,25,23,23,47,100,83,72
269,84,23,58,42,100,100,100
271,92,52,63,0,0,0,27
274,35,28,11,0,0,0,0
281,70,55,88,89,25,0,100
337,77,28,11,42,100,100,0
342,30,33,25,0,0,0,18
343,100,68,45,26,0,16,63
344,92,64,70,15,25,0,18
345,74,50,61,100,100,100,100
346,87,84,73,5,0,0,54
347,92,68,79,68,100,100,36
348,89,28,5,5,0,0,0
349,80,6,4,5,0,0,9
350,65,18,67,52,75,66,72
351,65,20,10,0,25,0,54
352,54,37,9,0,0,0,9
353,50,12,7,0,0,0,0
354,87,98,73,31,100,0,18
355,46,42,16,0,0,0,9
357,82,57,60,42,0,16,81
358,91,38,43,31,100,33,0
359,82,17,20,78,100,100,72
360,65,41,47,73,100,100,100
361,0,11,6,15,50,66,36
362,61,18,18,10,100,100,63
363,73,31,34,10,25,16,63
364,58,55,72,5,0,0,81
365,51,8,7,73,100,100,45
366,80,26,49,10,0,0,81
367,40,5,0,21,0,0,0
369,85,68,61,100,100,0,90
373,59,18,40,94,100,83,100
375,61,7,7,31,75,50,0
376,35,3,5,0,0,0,27
377,67,24,53,0,0,0,18
378,74,49,12,10,0,0,9
379,30,6,32,21,0,0,9
380,72,58,70,0,25,0,9
381,50,29,89,5,0,0,18
382,82,42,0,26,0,0,0
383,55,6,52,31,75,0,81
384,55,24,42,31,100,33,18
385,35,54,72,15,0,16,45
386,60,35,52,47,75,33,81
387,55,40,48,0,0,0,9
388,47,0,26,31,25,16,9
389,75,40,65,100,25,0,72
390,17,17,47,5,25,0,54
391,42,17,11,0,0,0,54
392,0,19,14,0,25,0,45
393,78,27,42,94,100,100,90
394,70,48,11,15,50,33,63
395,73,28,11,78,100,100,100
397,85,34,88,15,25,0,36
398,70,20,21,5,0,0,9
399,0,12,24,68,100,33,45
401,79,8,13,0,0,0,54
403,42,44,41,73,100,100,100
406,80,13,24,100,100,100,100
407,87,43,59,63,100,50,90
408,0,0,8,100,100,100,36
409,68,37,20,100,100,100,100
415,100,37,41,0,0,0,45
416,92,45,40,100,100,100,100
417,95,70,62,100,100,100,100
418,96,27,44,0,0,0,9
419,50,31,2,36,0,0,0
420,35,51,38,15,75,0,81
421,79,30,43,63,100,83,90
422,68,20,28,0,0,16,90
423,52,35,40,0,0,16,90
424,89,26,27,52,100,66,72
426,81,45,10,5,0,16,0
427,77,34,52,21,50,0,54
428,72,43,44,0,50,66,72
429,60,34,19,47,100,83,100
430,78,37,10,0,0,0,27
431,50,30,23,0,0,0,0
432,72,14,60,100,100,100,45
433,70,32,26,5,25,0,18
434,50,11,28,100,100,100,100
435,84,48,26,100,100,100,100
436,50,44,39,31,25,0,81
437,32,13,11,94,100,100,27
438,100,54,60,5,25,16,54
439,84,88,60,100,100,100,100
440,84,53,47,0,25,16,45
441,50,31,20,0,0,0,0
442,92,28,12,57,100,50,45
443,96,28,23,26,0,0,0
444,50,48,55,47,50,50,90
445,100,51,26,0,0,50,9
446,39,19,11,5,0,0,18
447,71,37,44,100,100,100,100
448,75,55,39,0,25,0,81
449,0,22,14,52,100,100,36
450,62,16,56,10,0,0,18
451,0,3,6,5,0,16,0
452,32,48,27,5,0,0,45
453,70,65,46,0,0,0,45
454,53,35,37,57,75,16,9
455,96,17,48,31,50,0,45
456,28,6,0,63,0,50,36
457,40,12,8,63,100,0,0
458,66,20,25,89,100,100,45
459,84,25,28,0,25,0,0
460,57,32,22,52,25,16,45
461,72,52,31,10,0,0,100
462,70,61,37,31,0,0,45
463,70,29,36,78,100,100,27
464,85,88,45,47,0,0,72
465,36,26,10,0,100,0,81
466,54,0,9,100,100,100,100
467,55,20,43,0,25,16,90
468,66,20,9,42,100,83,0
469,0,18,11,100,100,100,100
470,70,30,9,68,100,33,18
471,91,43,30,31,100,16,63
472,0,0,0,0,0,0,0
473,80,29,40,10,25,0,0
474,92,71,47,5,0,0,9
475,84,57,66,42,100,66,100
476,73,41,37,26,0,0,0
477,89,41,59,10,0,16,100
478,91,60,47,63,75,83,81
479,60,39,17,36,0,0,100
480,80,67,71,89,50,66,54
481,100,98,81,100,100,100,100
482,73,22,38,89,100,100,81
483,86,27,12,0,0,0,0
484,100,42,47,0,0,0,100
485,96,66,41,15,0,0,54
486,96,55,59,57,100,100,72
487,30,12,10,5,0,0,0
488,96,89,62,52,100,0,100
489,68,62,58,0,0,0,81
490,75,9,3,0,0,0,0
491,92,64,56,47,50,0,18
492,71,46,19,68,100,100,72
493,0,0,0,0,0,0,0
494,96,25,10,5,0,16,72
495,55,63,45,0,100,0,100
496,69,12,6,5,0,16,54
497,70,16,10,21,100,100,18
498,89,93,20,0,0,0,9
499,28,66,66,10,75,0,45
500,84,34,17,15,0,0,36
501,40,16,39,26,50,50,90
502,92,66,77,0,0,0,100
503,92,62,69,21,25,0,100
504,50,37,16,63,100,0,0
505,87,59,76,100,100,100,100
506,86,51,70,0,0,50,27
507,87,43,70,5,0,0,81
508,89,37,29,10,0,0,45
509,65,9,36,26,0,33,54
510,74,33,33,5,0,66,18
511,77,69,62,0,25,0,81
512,87,21,20,68,100,16,72
513,73,43,28,10,0,66,9
514,100,72,13,10,0,0,18
515,85,56,29,84,100,100,72
516,84,49,70,42,100,50,18
517,50,27,31,31,50,66,81
518,0,29,43,0,0,16,36
519,87,26,26,31,50,0,9
520,79,66,61,21,25,83,81
521,28,0,0,0,0,0,0
522,86,28,35,100,100,100,100
523,32,45,40,100,100,100,100
524,100,43,52,0,25,16,18
525,82,29,37,0,0,0,54
526,100,53,58,21,50,0,0
527,63,48,34,47,75,66,100
528,79,13,9,10,0,16,100
529,74,20,2,0,0,0,0
530,0,0,0,0,0,0,0
531,35,50,50,100,100,100,90
532,0,17,22,31,0,100,54
533,55,76,49,15,0,0,54
534,87,59,65,89,100,100,100
535,96,69,49,57,25,0,45
536,55,25,58,42,100,16,100
537,80,26,4,63,100,100,0
538,84,89,55,31,25,100,100
539,75,44,30,31,100,83,0
540,74,55,30,10,25,0,54
541,78,67,44,15,0,0,54
542,80,62,49,0,0,0,100
543,92,36,24,21,50,16,90
544,84,40,45,15,50,83,90
545,55,31,11,100,100,50,63
546,96,32,21,100,100,100,63
547,96,26,10,47,50,100,18
548,68,79,56,5,25,0,100
