totalTitle,chapterTitle
6,"1. Introduction to Database System"
6,"2. Database System Concepts and Architecture"
4,"3. Database Design using ER Model"
6,"4. Database Design using EER Model"
7,"5. Relational Data Model"
11,"6. Logical Design: Data Model Mapping"
